Luxembourg;100188
Irlande;86753
Suisse;85014
Norvège;74613
Danemark;57687
Islande;55193
Suède;52478
Pays-Bas;47355
Royaume-Uni;44429
Finlande;43422
Autriche;43339
Belgique;41856
Allemagne;40529
Andorre;37961
France;36840
Zone Euro;35350
Union Européenne;32291
Italie;31923
Malte;29481
Chypre;29083
Espagne;26510
Slovénie;24238
Portugal;21152
Grèce;19686
Estonie;19136
République tchèque;18715
Slovaquie;18164
Lituanie;17216
Pologne;16324
Croatie;16290
Lettonie;16016
Hongrie;15394
Turquie;13828
Roumanie;11707
Russie;9850
Bulgarie;9244
Monténégro;7916
Serbie;7312
Biélorussie;6128
Bosnie-Herzégovine;6069
Macédoine;6002
Albanie;5098
Kosovo;4588
Moldavie;3483
Ukraine;2086
